t,a
Russie - Afrique : la nouvelle strategie de Moscou,"HOELTGEN, Dominique"
"Sylvain Bensidoun, L'agitation paysanne en Russie de 1881 à 1902. Étude comparative entre le Cernozem central et la Nouvelle Russie","Jean-Pierre, Hirsch"
"Sylvain Bensidoun, L'agitation paysanne en Russie de 1881 à 1902. Étude comparative entre le Cernozem central et la Nouvelle Russie","Hirsch, Jean-Pierre"
Péninsule de Taman (Russie méridionale),"Fouache, Eric"
Péninsule de Taman (Russie méridionale),"Fouache, Éric"
Péninsule de Taman (Russie méridionale),"éric, Fouache"
"V.P. Stepanov (éd.) : La Noblesse de service en Russie dans la deuxième moitié du XVIIIe siècle (1765-1795)., 2003","Zaborov, Piotr"
"V.P. Stepanov (éd.) : La Noblesse de service en Russie dans la deuxième moitié du XVIIIe siècle (1765-1795)., 2003","Piotr, Zaborov"
"V.P. Stepanov (éd.) : La Noblesse de service en Russie dans la deuxième moitié du XVIIIe siècle (1765-1795)., 2003","ZABOROV, Petr"
"V.P. Stepanov (éd.) : La Noblesse de service en Russie dans la deuxième moitié du XVIIIe siècle (1765-1795)., 2003","Zaborov, Petr"
"La puissance technologique de la Russie dans l'imaginaire collectif. Le « fantasme » d'UVB76, entre théorie du complot et culte du mystère.","Limonier, Kevin"
L’émancipation des serfs de Russie dans la Revue des deux mondes et la correspondance diplomatique française,"Eldin, Grégoire"
Écrits personnels. Russie XVIIIe-XXe siècles,"Lejeune, Philippe"
Écrits personnels. Russie XVIIIe-XXe siècles,"LEJEUNE, Philippe"
Eurasie : Russie : Caucase : Caucase du Nord : République de Karatchaïévo-Tcherkessie : Glacier Alibek (4000-2000 m),"Radvanyi, Jean"
Eurasie : Russie : Caucase : Caucase du Nord : République de Karatchaïévo-Tcherkessie : Glacier Alibek (4000-2000 m),"RADVANYI, Jean"
Eurasie : Russie : Caucase : Caucase du Nord : République de Karatchaïévo-Tcherkessie : Glacier Alibek (4000-2000 m),"Jean, Radvanyi"
"Géologie de la Russie d'Europe et des montagnes de l'Oural. Vol. II. Troisième partie, Paléontologie ([Reprod.]) / ....b.fre.par Roderick Impey Murchison,... Edouard de Verneuil,... et le comte Alexandre de Keyserling,...","Murchison, Roderick Impey"
"Géologie de la Russie d'Europe et des montagnes de l'Oural. Vol. II. Troisième partie, Paléontologie ([Reprod.]) / ....b.fre.par Roderick Impey Murchison,... Edouard de Verneuil,... et le comte Alexandre de Keyserling,...","Murchison, Roderick Impey (1792-1871)"
"Géologie de la Russie d'Europe et des montagnes de l'Oural. Vol. II. Troisième partie, Paléontologie ([Reprod.]) / ....b.fre.par Roderick Impey Murchison,... Edouard de Verneuil,... et le comte Alexandre de Keyserling,...","Verneuil, Édouard de"
