t,a
"Théatre de la guerre. Comprenant la Pologne, une grande partie de la Russie, de la Suède, et de la Mer Baltique","Covens, Cornelis (1764-1825). Auteur du texte"
"Épître à Sa Majesté Alexandre Paulowitz, empereur et autocrate de toutes les Russies , par M. S. Lambert","Lambert, M.-S."
La réforme du financement du système de santé en Russie,"Shishkin, Serguei"
Une sociologie pour la Russie,"Sedov, Leonid"
"Andreas Kappeler, La Russie, empire multiethnique, trad, de l'allemand et préface de Guy Imart, 1994","Comtet, Roger"
"Andreas Kappeler, La Russie, empire multiethnique, trad, de l'allemand et préface de Guy Imart, 1994","Roger, Comtet"
"Andreas Kappeler, La Russie, empire multiethnique, trad, de l'allemand et préface de Guy Imart, 1994","Comtet, Maurice"
L'agro-industrie en Russie,"Anfinoguentova, Anna"
"Radvanyi J., La nouvelle Russie","Richard, Yann"
Guerre et paix commerciales avec la Russie,"Lallemand, Jean-Charles"
"Manuel des braves, ou Victoires des armées françaises en Allemagne, en Espagne, en Russie, en France.... T. IV. - 1818. Planche / , par MM. Léon Thiessé, Eugène B***, et plusieurs militaires","Thiessé, Léon (1793-1854)"
"Manuel des braves, ou Victoires des armées françaises en Allemagne, en Espagne, en Russie, en France.... T. IV. - 1818. Planche / , par MM. Léon Thiessé, Eugène B***, et plusieurs militaires","Balland, Eugène-Amédée (1796-1830?)"
"président Loubet en Russie, voyage, réception, discours, iconographie de la carte postale franco-russe, bibelots populaires, chansons...","Daragon, Henri (1870-193.)"
"président Loubet en Russie, voyage, réception, discours, iconographie de la carte postale franco-russe, bibelots populaires, chansons...","Demanne, Ernest"
"Mémoires du général J.-D. Freytag,... contenant des détails sur les déportés du 18 fructidor à la Guyane, la relation des principaux événemens qui se sont passés dans cette colonie pendant la Révolution, et un précis de la retraite effectuée par l'arrière-garde de l'armée française en Russie, ses voyages dans diverses parties de l'Amérique. Tome 1 / ,... accompagnés de notes... par M. C. de B. [Couvray de Beauregard]","Freytag, Jean David. Auteur du texte"
"Campagne de Russie, 1812, d'après le journal illustré d'un témoin oculaire, avec introduction, par Armand Dayot","Faber Du Faur, C. G. de"
"L'horizontale du pouvoir : Droit, force et renseignement dans l'exécution des décisions de justice en Russie","Favarel-Garrigues, Gilles"
"L'horizontale du pouvoir : Droit, force et renseignement dans l'exécution des décisions de justice en Russie","FAVAREL-GARRIGUES, Gilles"
Chronique : actualités de la politique industrielle - ‪Dix ans de politique industrielle en Russie‪,"Rochhia, Sylvie"
Chronique : actualités de la politique industrielle - ‪Dix ans de politique industrielle en Russie‪,"Longhi, Christian"
Monuments historiques et dénis d’histoire : à propos de la dé-symbolisation en Russie,"Gessat-Anstett, Elisabeth"
Monuments historiques et dénis d’histoire : à propos de la dé-symbolisation en Russie,"Anstett, Elisabeth"
Monuments historiques et dénis d’histoire : à propos de la dé-symbolisation en Russie,"GESSAT-ANSTETT, Elisabeth"
Monuments historiques et dénis d’histoire : à propos de la dé-symbolisation en Russie,"Gessat-Anstett, Élisabeth"
Monuments historiques et dénis d’histoire : à propos de la dé-symbolisation en Russie,"Anstett, Élisabeth"
La réforme de l'enseignement supérieur en Russie,"Sigman, Carole"
"Marlène Laruelle (dir), Le Rouge et le Noir : extrême droite et nationalisme en Russie. 2007","Niqueux, Michel"
"Marlène Laruelle (dir), Le Rouge et le Noir : extrême droite et nationalisme en Russie. 2007","Michel, Niqueux"
Marc Raeff (1923-2008) : Hommage à un grand historien de la Russie,"Besançon, Alain"
Marc Raeff (1923-2008) : Hommage à un grand historien de la Russie,"Alain, Besançon"
Marc Raeff (1923-2008) : Hommage à un grand historien de la Russie,"Besançon, Alain (1932-....)"
Marc Raeff (1923-2008) : Hommage à un grand historien de la Russie,"Besancon, Alain"
Les cabarets en Russie,"JSFS,"
La place des archives russes dans le processus de « modernisation autoritaire » de la Fédération de Russie,"ALMA,"
"""Tadjikistan"" in BERELOWITCH, A., RADVANYI, J. (dir.), Les Cent Portes de la Russie, Paris, Les Éditions de l'Atelier,","Ohayon, Isabelle"
Les « petites Russies » des campagnes françaises,"Lynch, Édouard"
Les « petites Russies » des campagnes françaises,"Lynch, Edouard"
Les « petites Russies » des campagnes françaises,"Édouard, Lynch"
Les « petites Russies » des campagnes françaises,"Boswell, Laird"
Les « petites Russies » des campagnes françaises,"Belloin, Gérard"
Les « petites Russies » des campagnes françaises,"Henry, Romain"
Les « petites Russies » des campagnes françaises,"Lee, Haksu"
Les « petites Russies » des campagnes françaises,"Lagrave, Rose-Marie"
Les « petites Russies » des campagnes françaises,"Rose-Marie, Lagrave"
Les « petites Russies » des campagnes françaises,"Marie Lagrave, Rose"
Les « petites Russies » des campagnes françaises,"Lagrave, Rose Marie"
Les « petites Russies » des campagnes françaises,"LAGRAVE, Rose-Marie"
Les « petites Russies » des campagnes françaises,"Streith, Michel"
Les « petites Russies » des campagnes françaises,"STREITH, Michel"
Les « petites Russies » des campagnes françaises,"Ferret, Carole"
Les « petites Russies » des campagnes françaises,"FERRET, Carole"
Les « petites Russies » des campagnes françaises,"Conord, Fabien"
Les « petites Russies » des campagnes françaises,"CONORD, Fabien"
Les « petites Russies » des campagnes françaises,"Chaffel, Alain"
Les « petites Russies » des campagnes françaises,"Vivier-Muresan, Anne-Sophie"
Les « petites Russies » des campagnes françaises,"Vivier, Anne-Sophie"
Les « petites Russies » des campagnes françaises,"Ben Hounet, Yazid"
Les « petites Russies » des campagnes françaises,"Hounet, Yazid Ben"
Les « petites Russies » des campagnes françaises,"Bontron, Jean-Claude"
Les « petites Russies » des campagnes françaises,"Vigreux, Jean"
Les « petites Russies » des campagnes françaises,"Gaudreault-Des Biens, Jean-François"
Les « petites Russies » des campagnes françaises,"VIGREUX, Jean"
Les « petites Russies » des campagnes françaises,"Bruneau, Ivan"
Les « petites Russies » des campagnes françaises,"Digard, Jean-Pierre"
Les « petites Russies » des campagnes françaises,"Fabre, Vincent"
Les « petites Russies » des campagnes françaises,"Le Coadic, Ronan,"
Les « petites Russies » des campagnes françaises,"Le Dœuff, Emmanuel,"
Les « petites Russies » des campagnes françaises,"Mahdi, Mohamed"
Les « petites Russies » des campagnes françaises,"Mischi, Julian"
Les « petites Russies » des campagnes françaises,"Pudal, Bernard"
Les « petites Russies » des campagnes françaises,"Roche, Agnès"
Etudes sur les transports en Russie,"George, Pierre"
Le tour du monde en 500 sites de prévention : 4e épisode : les Pays d'Europe centrale et la Russie,"Singer, Anne"
"Chronique de l'Académie des sciences de Russie. Tome I, 1 724-1802. Sous la direction de N. I. NevskaIa, 2000","Jacques, Prébet"
"Chronique de l'Académie des sciences de Russie. Tome I, 1 724-1802. Sous la direction de N. I. NevskaIa, 2000","Zaborov, Piotr"
"Chronique de l'Académie des sciences de Russie. Tome I, 1 724-1802. Sous la direction de N. I. NevskaIa, 2000","Piotr, Zaborov"
"Chronique de l'Académie des sciences de Russie. Tome I, 1 724-1802. Sous la direction de N. I. NevskaIa, 2000","ZABOROV, Petr"
"Chronique de l'Académie des sciences de Russie. Tome I, 1 724-1802. Sous la direction de N. I. NevskaIa, 2000","Zaborov, Petr"
"La Russie, l'Occident et la paix froide","Grand, Camille"
"L'actualité constitutionnelle en Russie, dans les États de la CEI et de l'Europe de l'Est et dans les États toujours ou anciennement communistes (août-octobre 2001)","Gélard, Patrice"
"L'actualité constitutionnelle en Russie, dans les États de la CEI et de l'Europe de l'Est et dans les États toujours ou anciennement communistes (août-octobre 2001)","Gelard, Patrice"
"L'actualité constitutionnelle en Russie, dans les États de la CEI et de l'Europe de l'Est et dans les États toujours ou anciennement communistes (août-octobre 2001)","Patrice, Gélard"
Les vingt années de transformations en Russie : Science et entreprises industrielles,"Peaucelle, Irina"
Les vingt années de transformations en Russie : Science et entreprises industrielles,"Irina, Peaucelle"
Lenine (V.) - Le développement du capitalisme en Russie.,"Emile, James"
L’invention de l’impôt sur le revenu en Russie,"Platonova, Natalia Victorovna"
"Émile Zola et la Russie, Histoire d'une conquête littéraire","Nuk, Myriam-Isabelle"
"Adelina Patti / Elle s'appelle aujourd'hui la baronne Cederström; mais pour le monde entier, qu'elle parcourut en triomphatrice, elle restera toujours Adelina Patti. Aucune cantratrice n'a été douée d'une voix plus souple, plus pure, plus cristalline, et pour tout dire, c'est la voix la plus parfaite de chanteuse légère qu'on ait entendu jusqu'à ce jour. Adelina Patti a remporté des succès incomparables au Théâtre-Italien de Paris, en Angleterre, en Russie, en Amérique, etc... Tout récemment, elle a chanté au profit de la Maison de Retraite que Coquelin veut fonder pour les vieux comédiens.","Mendelssohn,"
"Adelina Patti / Elle s'appelle aujourd'hui la baronne Cederström; mais pour le monde entier, qu'elle parcourut en triomphatrice, elle restera toujours Adelina Patti. Aucune cantratrice n'a été douée d'une voix plus souple, plus pure, plus cristalline, et pour tout dire, c'est la voix la plus parfaite de chanteuse légère qu'on ait entendu jusqu'à ce jour. Adelina Patti a remporté des succès incomparables au Théâtre-Italien de Paris, en Angleterre, en Russie, en Amérique, etc... Tout récemment, elle a chanté au profit de la Maison de Retraite que Coquelin veut fonder pour les vieux comédiens.","Ruckert et Cie, C.,"
Un retour des capitaux en Russie ?,"Zlotowski, Yves"
Un retour des capitaux en Russie ?,"Ménascé, Emma"
Géopolitique de la Russie,"Giblin, Béatrice"
Géopolitique de la Russie,"Giblin-Delvallet, Béatrice"
Géopolitique de la Russie,"GIBLIN DELVALLET, Beatrice"
Géopolitique de la Russie,"Nies, Susanne"
Géopolitique de la Russie,"Raviot, Jean-Robert"
Géopolitique de la Russie,"RAVIOT, Jean-Robert"
Géopolitique de la Russie,"Gras, Cédric"
Géopolitique de la Russie,"Vaissié, Cécile"
Géopolitique de la Russie,"Limonier, Kevin"
Election à l'Académie des Sciences de Russie,"Sapir, Jacques"
Election à l'Académie des Sciences de Russie,"SAPIR, Jacques"
Election à l'Académie des Sciences de Russie,"Sapir, jacques"
Géopolitique de la Russie,"Le Torrivellec, Xavier"
Géopolitique de la Russie,"LE TORRIVELLEC, Xavier"
Géopolitique de la Russie,"Radvanyi, Jean"
Géopolitique de la Russie,"RADVANYI, Jean"
Géopolitique de la Russie,"Pétric, Boris"
Géopolitique de la Russie,"Petric, Boris"
Géopolitique de la Russie,"Filler, André"
Géopolitique de la Russie,"Guénec, Michel"
Géopolitique de la Russie,"Shvedov, Vycheslav"
Histoire de la Russie,"Lamartine, Alphonse de (1790-1869)"
Histoire de la Russie,"Lamartine, Alphonse de, 1790-1869"
Le séjour du physiocrate Lemercier de La Rivière en Russie. 1767-1768,"Herencia, Bernard"
La population de la Fédération de Russie,"Blum, Alain"
La population de la Fédération de Russie,"Le Noir, Alain"
La population de la Fédération de Russie,"BLUM, Alain"
Correspondance de Russie,"Tyrsenko, Anatoli"
La fin de notre ère (à propos de la révolution en Russie) / comte Léon Tolstoï ; traduit du manuscrit original par J.-W. Bienstock,"Tolstoj, Lev Nikolaevič (1828-1910). Auteur du texte"
"[Institut de Phonétique-Musée de la parole et du geste]. , Jmstycevo : nouvelle (récit) en petit russien de Imstycevo / Hubert Pernot, collecteur ; Simon Popovič [de Imstyčevo], voix parlée. Trois chansons / Hubert Pernot, collecteur ; Jakub Šima, chant","Pernot, Hubert (1870-1946). Collecteur"
"Nouvelle Carte De L'Empire de Russie, [...]","Ides , Everard Isbrantz"
"Droit constitutionnel étranger. L’actualité constitutionnelle en Russie, dans les États de la CEI et de l’Europe centrale et orientale, et dans les pays toujours ou anciennement communistes (janvier 2013 – novembre 2014)","Gélard, Patrice"
"Droit constitutionnel étranger. L’actualité constitutionnelle en Russie, dans les États de la CEI et de l’Europe centrale et orientale, et dans les pays toujours ou anciennement communistes (janvier 2013 – novembre 2014)","Gelard, Patrice"
"Droit constitutionnel étranger. L’actualité constitutionnelle en Russie, dans les États de la CEI et de l’Europe centrale et orientale, et dans les pays toujours ou anciennement communistes (janvier 2013 – novembre 2014)","Patrice, Gélard"
"Ode sur la bataille de Lutzen, gagnée par S. M. l'empereur Napoléon, le 2 mai 1813, sur les armées combinées de Prusse et de Russie, par M. Alex. Allaire,...","Allaire, Alex"
"Études stratégiques et sécurité : Le triangle Russie/États-Unis/Chine. Un seul lit pour trois ?Legault, Albert, André Laliberté et Frédéric Bastien. Coll. Politique étrangère et sécurité, Sainte-Foy, Les Presses de l’Université Laval, 2004, 156 p.","Lasserre, Frédéric"
Endiguer la marée linguistique : Le cas de la langue komie en Russie,"Bouchard, Michel"
"Approche comparative de la gestion des eaux souterraines karstiques dans la région d'Irkoutsk (Sibérie orientale, Russie) et dans les Alpes du nord françaises","Trofimova, E."
"Approche comparative de la gestion des eaux souterraines karstiques dans la région d'Irkoutsk (Sibérie orientale, Russie) et dans les Alpes du nord françaises","Hoblea, Fabien"
"Approche comparative de la gestion des eaux souterraines karstiques dans la région d'Irkoutsk (Sibérie orientale, Russie) et dans les Alpes du nord françaises","Cadilhac, L."
Une condamnation à « l’inexistence » : la « dictature des lois » et l’interdiction de la propagande des relations sexuelles non traditionnelles auprès des mineurs en Russie,"Zdravomyslova, Olga"
Janvier 2013 : Début de nouvelle année. Janvier 2013 : Les lumières des villes. Février 2013 : Cyclone dans le canal de Mozambique. Février 2013 : Météorite au-dessus de la Russie. Mars 2013 : Perturbation égypto-libyenne.,"Hernandez, Jean-Baptiste"
Janvier 2013 : Début de nouvelle année. Janvier 2013 : Les lumières des villes. Février 2013 : Cyclone dans le canal de Mozambique. Février 2013 : Météorite au-dessus de la Russie. Mars 2013 : Perturbation égypto-libyenne.,"Hernandez, Jean-françois"
Janvier 2013 : Début de nouvelle année. Janvier 2013 : Les lumières des villes. Février 2013 : Cyclone dans le canal de Mozambique. Février 2013 : Météorite au-dessus de la Russie. Mars 2013 : Perturbation égypto-libyenne.,"Donguy, Patrick"
"Une paradoxale oppression. Le pouvoir et les associations en Russie, Françoise Daucé","Barthélemy, Martine"
"Une paradoxale oppression. Le pouvoir et les associations en Russie, Françoise Daucé","Barthelemy, Martine"
"Une paradoxale oppression. Le pouvoir et les associations en Russie, Françoise Daucé","Barthélémy, Martine"
La substitution aux importations en Russie,"Sapir, Jacques"
La substitution aux importations en Russie,"SAPIR, Jacques"
La substitution aux importations en Russie,"Sapir, jacques"
Alfred Rambaud. Russie-Révolution [française] : jusqu'en 1812 : cours,"Rambaud, Alfred (1842-1905)"
Alfred Rambaud. Russie-Révolution [française] : jusqu'en 1812 : cours,"Rambaud, Alfred"
"Carte de la route de l'auteur [en Russie, en Tartarie et en Turquie] / D'Houdan sculpsit ; L. Aubert père scripsit","Clarke, Edward Daniel (17..-18..?). Auteur du texte"
"Carte de la route de l'auteur [en Russie, en Tartarie et en Turquie] / D'Houdan sculpsit ; L. Aubert père scripsit","Houdan, François d' (1748-1828). Graveur"
"Carte de la route de l'auteur [en Russie, en Tartarie et en Turquie] / D'Houdan sculpsit ; L. Aubert père scripsit","Aubert, J.-B.-L. (17..-18.. ; graveur). Graveur"
Portrait de l'impératrice Catherine de Russie,"Rotari, Pietro (1707 - 1762),"
"L’art en question : les discours sur l’art en Russie, 1800-1900","Medvedkova, Olga"
"L’art en question : les discours sur l’art en Russie, 1800-1900","Medvekova, Olga"
"Structures sociales en Russie, cellules et réseaux","Yefimov, Vladimir"
Le travail au village dans l'ancienne et dans la nouvelle Russie,"George, Pierre"
L'organisation politique de la Russie,"Arnaud, G."
L'aspect synthétique de l'histoire de Russie,"Eck, A."
"Nicolet C., Les Gracques, crise agraire et révolution à Rome.Mousnier R., Fureurs paysannes, les paysans dans les révoltes du XVIIe siècle (France, Russie, Chine).Pereira de Queiroz M. I., Réforme et révolution dans les sociétés traditionnelles, histoire et ethnologie des mouvements messianiques.Decouflé A., Sociologie des révolutions.","Dion, Michel"
"L’engagement politique du Habad en Russie, un cas particulier ?","Benhamou, Yonith"
L' oeuvre sociale et politique du gouvernement socialiste de Russie,"[s.n.],"
La politique régionale en Russie,"Levina, Valentina"
"""Journées de formation"", pour les lecteurs envoyés dans les pays d'Europe centrale et orientale, les pays baltes et la Russie.","Collès, Luc"
"""Journées de formation"", pour les lecteurs envoyés dans les pays d'Europe centrale et orientale, les pays baltes et la Russie.","Animation des Journées de formation du CGRI depuis 1992,"
La Russie : essai d'idéologie nationale-étatique,"Il’in, Victor,"
Quelques études sur l'histoire de la littérature en Russie,"Backvis, Claude"
Quelques études sur l'histoire de la littérature en Russie,"Claude, Backvis"
Quelques études sur l'histoire de la littérature en Russie,"Backvis, Cl."
Clubs politiques et perestroïka en Russie,"Sigman, Carole"
"G. Podskalsky, I. A. Minea, T. Spidlik et al. : La Russie. Histoire des mouvements spirituels. (Dictionnaire de spiritualité, 14)","Wladimir, Vodoff"
"G. Podskalsky, I. A. Minea, T. Spidlik et al. : La Russie. Histoire des mouvements spirituels. (Dictionnaire de spiritualité, 14)","Vodoff, Wladimir"
"G. Podskalsky, I. A. Minea, T. Spidlik et al. : La Russie. Histoire des mouvements spirituels. (Dictionnaire de spiritualité, 14)","Vodoff, Vladimir"
"G. Podskalsky, I. A. Minea, T. Spidlik et al. : La Russie. Histoire des mouvements spirituels. (Dictionnaire de spiritualité, 14)","Vladimir, Vodoff"
"Intelligentsia, religion, révolution : Premières manifestations d'un socialisme chrétien en Russie, 1905-1907","Scherrer, Jutta"
"Intelligentsia, religion, révolution : Premières manifestations d'un socialisme chrétien en Russie, 1905-1907","SCHERRER, Jutta"
"Intelligentsia, religion, révolution : Premières manifestations d'un socialisme chrétien en Russie, 1905-1907","SCHERRER, U."
"Intelligentsia, religion, révolution : Premières manifestations d'un socialisme chrétien en Russie, 1905-1907","Scherrer., Jutta"
"Prusse et la Russie, réponse à la brochure ""La Prusse en Orient""","Chenet, Lieutenant-colonel"
"""Kirghizstan"" in BERELOWITCH, A., RADVANYI, J. (dir.), Les Cent Portes de la Russie, Paris, Les Éditions de l'Atelier,","Ohayon, Isabelle"
Le développement des relations frontalières entre la Chine et la Russie,"Colin, Sébastien"
Le développement des relations frontalières entre la Chine et la Russie,"COLIN, sebastien,"
Le développement des relations frontalières entre la Chine et la Russie,"Colin, Sebastien"
Situation économique en Russie,"invité,"
"Abrégé Chronologique De L'Histoire Du Nord Ou Des Etats De Dannemarc, de Russie, de Suede, de Pologne, de Prusse, de Courlande, &c, &c : Avec Des Remarques particulieres sur le génie, les mœurs, les usages de ces Nations; sur la nature & les productions de leurs climats ...","Lacombe, Jacques"
"Tchast Rossii... (Une Partie de la Russie, avec les Etats adjacents / dressée par Khoudiakov.)","Khoudiakov, E. (17..-17.. ; graveur). Auteur du texte"
"Lethaea Rossica ou Paléontologie de la Russie. Volume 2 / Section 1 / décrite et figurée par Edouard d'Eichwald,...","Eichwald, Eduard (1795-1876)"
"Lethaea Rossica ou Paléontologie de la Russie. Volume 2 / Section 1 / décrite et figurée par Edouard d'Eichwald,...","Eichwald, Eduard"
Situation économique de la Russie,"Sapir, Jacques"
Situation économique de la Russie,"SAPIR, Jacques"
Situation économique de la Russie,"Sapir, jacques"
"Transfaires impériaux : Turquie, Russie","Kaya, Sümbül"
DANSES ET CHANTS POPULAIRES DE RUSSIE,"Aleksandrov, Boris Aleksandrovič (1905-1994). Direction d'orchestre"
Analyse des enjeux institutionnels dans la préparation d'un projet de transport urbain en Russie,"Oudin, Olivier"
"Pendant une mission en Russie. Première série, A travers l'Allemagne. Tome 1 / par M. E. Fournier de Flaix","Fournier de Flaix, Ernest (1824-1904). Auteur du texte"
"Sur un homme velu, né en Russie, et sur son fils âgé de trois ans et demi.","Royer, Clémence (1830-1902)"
"Sur un homme velu, né en Russie, et sur son fils âgé de trois ans et demi.","Royer, Clémence"
"Les archives dans les guerres de mémoires : France, Allemagne, Russie","Combe, Sonia"
"Les archives dans les guerres de mémoires : France, Allemagne, Russie","Combe, Sonia (1949-....)"
"Les archives dans les guerres de mémoires : France, Allemagne, Russie","COMBE, Sonia"
"Les archives dans les guerres de mémoires : France, Allemagne, Russie","Sonia, Combe"
"Voyages de M. P. S. Pallas, en différentes provinces de l'Empire de Russie, et dans l'Asie septentrionale. Tome 4 / , traduits de l'allemand par M. Gauthier de La Peyronie,... Tome premier [-sixième]","Pallas, Peter Simon (1741-1811). Auteur du texte"
"COLLOQUE: Fractures et intégrations entre la Russie, le monde slave-oriental et l’Occident","CEM, GDR"
"Recueil des instructions données aux ambassadeurs et ministres de France : depuis les traités de Westphalie jusqu'à la Révolution française. VIII-IX, Russie. 9 / Tome 2 / publ. sous les auspices de la commission des archives diplomatiques au ministère des affaires étrangères ; avec une introd. et des notes par Alfred Rambaud","France. Ministère des affaires étrangères (1588-2007). Auteur du texte,"
La transition inaboutie du système financier en Russie,"Renversez, Françoise"
Priorités et limites de la politique pénitentiaire en Russie,"Favarel-Garrigues, Gilles"
Priorités et limites de la politique pénitentiaire en Russie,"FAVAREL-GARRIGUES, Gilles"
"Autour d'un trône. Catherine II de Russie, ses collaborateurs, ses amis, ses favoris... / K. Waliszewski","Waliszewski, Kazimierz Klemens (1849-1935). Auteur du texte"
Nord-Caucase : un « étranger intérieur » de la fédération de Russie,"Avioutskii, Viatcheslav"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Blum, Alain"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Le Noir, Alain"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","BLUM, Alain"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Stankuniene, Vlada"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Stankuniene, V."
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Sinyavskaya, Oxana"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Lefèvre, Cécile"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Lefevre, Cécile"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Cécile, Douxchamps-Lefevre"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Douxchamps-Lefevre, Cécile"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","LEFEVRE, Cecile"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Cécile, Douxchamps-Lefèvre"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Lefevre, Cecile"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Douxchamps-Lefèvre, C."
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Douxchamps-Lefèvre, Cécile"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Douxchamps-Léfèvre, Cécile"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Régnier-Loilier, Arnaud"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Regnier-Loilier, Arnaud"
"La famille dans tous ses Etats: France, Géorgie, Lituanie, Russie","Sebille, Pascal"
« Université-monde » : l'internationalisation des politiques universitaires en France et en Russie,"Filimonova, Ekaterina"
"Gustave Doré, Histoire pittoresque, dramatique et caricaturale de la Sainte Russie","Levreaud, Philippe"
Une continuité dans le changement: les mesures de coercition économiques de l'Union européenne à l'égard de l'URSS et de la Russie,"de Wilde d'Estmael, Tanguy,"
"Elie Barnavi. Israël au XXe siècleJean-Pierre Alem. La déclaration BalfourBernard Granotier. Israël, cause de la troisième guerre mondiale ?Freddy Raphaël. Judaïsme et capitalismeFrançois de Fontette. Histoire de l'antisémitismeAnne-Marie Rosenthal. L'antisémitisme en Russie. Des origines à nos joursShlomo Avineri. Histoire de la pensée sioniste","Eugène, Berg"
"La Fête de la Fédération des chanteurs allemands à Nüremberg. / Récemment ont été célébrés à Nüremberg les Fêtes des chanteurs. Plus de 1700 comités avec 1500 drapeaux prirent part au cortège qui traversa la ville. De toutes les parties du monde, Amérique, Russie, Roumanie, Turquie, des chanteurs étaient venus. Jamais Nüremberg n'avait vu une pareille affluence de visiteurs. / le duc de Koburg et le prince Alphonse de Bavière, qui représentait le Prince Régent, devant la salle des fêtes.","Ruck,"
Le repos dominical en Russie,"Hamberger, J."
Mouvements citoyens en Europe et en Russie,"Pleyers, Geoffrey"
Mouvements citoyens en Europe et en Russie,"PLEYERS, Geoffrey"
Anciens/Nouveaux lieux de mémoire en Russie,"Scherrer, Jutta"
Anciens/Nouveaux lieux de mémoire en Russie,"SCHERRER, Jutta"
Anciens/Nouveaux lieux de mémoire en Russie,"SCHERRER, U."
Anciens/Nouveaux lieux de mémoire en Russie,"Scherrer., Jutta"
Mouvements citoyens en Europe et en Russie,"Mouvements citoyens en Europe et en Russie,"
"Forts et camps retranchés des frontières de Russie, de Prusse, d'Autriche et de Turquie / par Ch. Lassailly, ,...","Lassailly, Charles (18..-18..?). Auteur du texte"
"N.G. Suhova, Karl Ritter i geograficeskaja nauka v Rossii / Carl Ritter et la science géographique en Russie","François, Carré"
"Les constitutions de l'URSS et de la Russie, 1905-1993 / Dominique Colas,...","Colas, Dominique (1944-....). Auteur du texte"
Le Code civil russe et le règlement des litiges économiques en Russie,"Guillenchmidt, Michel de"
Le Code civil russe et le règlement des litiges économiques en Russie,"Guillenchmidt, Michel De"
"Les trois Fléaux de la France : le choléra, le paupérisme et la Russie, suivis des moyens d'en délivrer notre pays, par Boulat, horloger","Boulat (horloger). Auteur du texte,"
"Introduction. Les individus, le sens de la justice et la loi (France, Pologne, Russie)","Kourilsky-Augeven, Chantai"
président Félix Faure en Russie...,"Daragon, Henri (1870-193.)"
"La Russie, la Flotte de la mer Noire et l’OTAN","Sheldon-Duplaix, Alexandre"
Le Formalisme en Russie,"Catherine, Depretto"
Le Formalisme en Russie,"Depretto, Cathérine"
Le Formalisme en Russie,"Depretto, Catherine"
Le Formalisme en Russie,"Depretto-Genty, Catherine"
Le Formalisme en Russie,"Genty, Catherine"
"Le service public en France, Allemagne et Russie. Concepts, histoires, structures et pratiques","OpenEdition,"
"Gopak, danse petite russienne / Modeste Moussorgsky. Le vol du Bourdon / N. Rimsky-korsakov. Yablochko, danse du marin russe / Rheinhold Glière ; The Philharmonia Orchestra ; dir. Nicolai Malko","Musorgskij, Modest Petrovič (1839-1881). Compositeur"
"Gopak, danse petite russienne / Modeste Moussorgsky. Le vol du Bourdon / N. Rimsky-korsakov. Yablochko, danse du marin russe / Rheinhold Glière ; The Philharmonia Orchestra ; dir. Nicolai Malko","Rimskij-Korsakov, Nikolaj Andreevič (1844-1908). Compositeur"
"Gopak, danse petite russienne / Modeste Moussorgsky. Le vol du Bourdon / N. Rimsky-korsakov. Yablochko, danse du marin russe / Rheinhold Glière ; The Philharmonia Orchestra ; dir. Nicolai Malko","Glièr, Rejngolʹd Moricevič (1875-1956). Compositeur"
"Gopak, danse petite russienne / Modeste Moussorgsky. Le vol du Bourdon / N. Rimsky-korsakov. Yablochko, danse du marin russe / Rheinhold Glière ; The Philharmonia Orchestra ; dir. Nicolai Malko","Malko, Nicolai (1883-1961). Direction d'orchestre"
"Gopak, danse petite russienne / Modeste Moussorgsky. Le vol du Bourdon / N. Rimsky-korsakov. Yablochko, danse du marin russe / Rheinhold Glière ; The Philharmonia Orchestra ; dir. Nicolai Malko","Philharmonia orchestra (Londres). Orchestre,"
"A travers les Russies, par A. Meylan","Meylan, Auguste (1841-1897). Auteur du texte"
"Découverte d'un charnier contemporain de la retraite de Russie, 8, 9 et 10 décembre 1812 (Vilnius -Lituanie)","Dutour, Olivier"
"Découverte d'un charnier contemporain de la retraite de Russie, 8, 9 et 10 décembre 1812 (Vilnius -Lituanie)","Dutour, Olivier (1958-....)"
"Découverte d'un charnier contemporain de la retraite de Russie, 8, 9 et 10 décembre 1812 (Vilnius -Lituanie)","Olivier, Dutour"
"Découverte d'un charnier contemporain de la retraite de Russie, 8, 9 et 10 décembre 1812 (Vilnius -Lituanie)","Lalys, Loïc"
